model,pearson_r,MAE,RMSE,mean_bias,"ICC(2,1)",weighted_kappa,median_latency_s,rank_MAE,rank_r,rank_ICC,rank_kappa,rank_bias,rank_latency,composite_rank
Claude Sonnet,0.75,11.08,13.03,2.35,0.501,0.48,54.22047972679138,1.0,1.0,1.0,1.0,2.0,6.0,1.2
Claude Opus,0.741,11.32,13.67,4.5,0.493,0.443,52.63760149478912,2.0,2.0,4.0,4.0,4.0,5.0,3.2
Gemini 2.5 Pro,0.719,13.18,16.58,6.76,0.496,0.475,37.620819211006165,3.0,3.0,2.0,2.0,7.0,4.0,3.4
GPT-5,0.65,13.54,16.37,3.39,0.468,0.458,134.18436336517334,4.0,5.0,5.0,3.0,3.0,7.0,4.0
Gemini 2.5 Flash,0.694,13.68,17.27,5.55,0.495,0.419,25.93579924106598,5.0,4.0,3.0,6.0,5.0,2.0,4.6
GPT-4o,0.624,14.76,19.07,-0.75,0.462,0.323,8.151015281677246,6.0,6.0,6.0,7.0,1.0,1.0,5.2
Claude Haiku,0.564,14.85,19.32,-6.7,0.442,0.439,27.193297028541565,7.0,7.0,7.0,5.0,6.0,3.0,6.4
