model,pearson_r,MAE,RMSE,mean_bias,weighted_kappa,median_latency_s,rank_MAE,rank_r,rank_kappa,rank_bias,rank_latency,composite_rank
Claude Haiku,0.807,7.51,8.95,-5.08,0.0,56.65268850326538,1.0,1.0,4.0,1.0,1.0,1.75
Gemini 2.5 Flash,-0.682,21.06,21.3,-21.06,0.0,60.81302857398987,2.0,6.0,4.0,2.0,2.0,3.5
Claude Opus,0.575,23.39,23.44,-23.39,0.0,160.308030128479,5.0,2.0,4.0,5.0,6.0,4.0
Gemini 2.5 Pro,-0.702,21.44,21.66,-21.44,0.0,88.88078379631042,3.0,7.0,4.0,3.0,4.0,4.25
GPT-4o,-0.554,22.78,22.95,-22.78,0.0,62.68792152404785,4.0,5.0,4.0,4.0,3.0,4.25
Claude Sonnet,0.273,24.72,24.92,-24.72,0.0,154.0051462650299,6.0,3.0,4.0,6.0,5.0,4.75
GPT-5,0.026,26.61,26.66,-26.61,0.0,226.77351713180545,7.0,4.0,4.0,7.0,7.0,5.5
